ticker,value_score,company_name,mcap_billions
AACB,12.5,Artius II Acquisition Inc.,0.28698976
AACBR,12.5,Artius II Acquisition Inc.,0.0
AACBU,12.5,Artius II Acquisition Inc.,0.26937248
AACG,46.0,ATA Creativity Global,0.043460296
AACI,12.5,Armada Acquisition Corp. III,0.252412592
AACIU,12.5,Armada Acquisition Corp. III,0.0
AACIW,12.5,Armada Acquisition Corp. III,0.0
AACO,0.0,Abony Acquisition Corp. I,0.30985328
AACOU,12.5,Abony Acquisition Corp. I,0.0
AACOW,0.0,Abony Acquisition Corp. I,0.0
AACPU,12.5,Apogee Acquisition Corp,0.0
AADR,0.0,AdvisorShares Dorsey Wright ADR ETF,0.0
AAEQ,0.0,Alpha Architect US Equity 2 ETF,0.0
AAL,46.0,American Airlines Group Inc.,8.438692352
AALG,0.0,Leverage Shares 2X Long AAL Daily ETF,0.0
AAME,42.0,Atlantic American Corporation,0.05313478
AAOI,29.0,"Applied Optoelectronics, Inc.",12.382968832
AAON,41.5,"AAON, Inc.",7.691672576
AAPB,0.0,GraniteShares 2x Long AAPL Daily ETF,0.0
AAPD,0.0,Direxion Daily AAPL Bear 1X Shares,0.0
AAPG,0.0,AAPG,2.622230016
AAPL,41.5,Apple Inc.,3971.820552192
AAPU,0.0,Direxion Daily AAPL Bull 2X Shares,0.0
AARD,25.0,"Aardvark Therapeutics, Inc.",0.114097888
AAUS,0.0,Alpha Architect US Equity ETF,0.0
AAVM,0.0,Alpha Architect Global Factor Equity ETF,0.0
AAXJ,0.0,iShares MSCI All Country Asia ex Japan ETF,0.0
ABAT,12.5,American Battery Technology Company,0.447811456
ABCL,25.0,AbCellera Biologics Inc.,1.2156736
ABCS,0.0,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,0.0
ABEO,25.0,Abeona Therapeutics Inc.,0.313769632
ABI,0.0,VictoryShares Pioneer Asset-Based Inc ETF,0.0
ABIG,0.0,Argent Large Cap ETF,0.0
ABLV,17.0,Able View Global Inc.,0.03654854
ABLVW,12.5,Able View Global Inc.,0.0
ABNB,25.0,"Airbnb, Inc.",84.861206528
ABNG,0.0,Leverage Shares 2X Long Abnb Daily ETF,0.0
ABOS,12.5,"Acumen Pharmaceuticals, Inc.",0.203639984
ABSI,12.5,Absci Corporation,0.547816128
ABTC,12.5,American Bitcoin Corp,1.376857344
ABTS,42.0,Abits Group Inc.,0.004838544
ABUS,12.5,Arbutus Biopharma Corporation,0.929555264
ABVC,12.5,"ABVC BioPharma, Inc.",0.033841136
ABVE,29.5,Above Food Ingredients Inc.,0.051191848
ABVEW,12.5,Above Food Ingredients Inc.,0.0
ABVX,12.5,ABIVAX Société Anonyme,9.782765568
ACAA,0.0,Averin Capital Acquisition Corp.,0.342584736
ACAAU,12.5,Averin Capital Acquisition Corp.,0.0
ACAAW,12.5,Averin Capital Acquisition Corp.,0.0
ACAD,54.0,ACADIA Pharmaceuticals Inc.,3.7798656
ACB,42.0,Aurora Cannabis Inc.,0.216403376
ACCL,25.0,Acco Group Holdings Limited,0.019808858
ACDC,29.5,ProFrac Holding Corp.,1.072860032
ACEP,0.0,ARS Core Equity Portfolio ETF,0.0
ACET,25.0,"Adicet Bio, Inc.",0.078912
ACFN,25.0,"Acorn Energy, Inc.",0.045543124
ACGCU,0.0,ACP Holdings Acquisition Corp,0.0
ACGL,66.5,Arch Capital Group Ltd.,34.768662528
ACGLN,66.5,Arch Capital Group Ltd.,0.0
ACGLO,83.5,Arch Capital Group Ltd.,11.98247936
ACHC,29.5,"Acadia Healthcare Company, Inc.",2.489718016
ACHV,0.0,"Achieve Life Sciences, Inc.",0.271523936
ACIC,54.0,American Coastal Insurance Corporation,0.579495424
ACIU,12.5,AC Immune SA,0.306338464
ACIW,12.5,"ACI Worldwide, Inc.",4.584324096
ACLS,12.5,"Axcelis Technologies, Inc.",3.648569344
ACLX,12.5,"Arcellx, Inc.",6.7281024
ACMR,12.5,"ACM Research, Inc.",3.326473472
ACNB,41.5,ACNB Corporation,0.536894784
ACNT,29.0,Ascent Industries Co.,0.135134352
ACOG,0.0,Alpha Cognition Inc. Common Stock,0.151112288
ACON,12.5,"Aclarion, Inc.",0.007737238
ACONW,12.5,"Aclarion, Inc.",0.0
ACRS,12.5,"Aclaris Therapeutics, Inc.",0.5146208
ACRV,25.0,"Acrivon Therapeutics, Inc.",0.06896512
ACT,54.0,"Enact Holdings, Inc.",6.069530112
ACTG,25.0,Acacia Research Corporation,0.48430688
ACTU,0.0,"Actuate Therapeutics, Inc. Common stock",0.054773972
ACWI,0.0,iShares MSCI ACWI ETF,0.0
ACWX,0.0,iShares MSCI ACWI ex U.S. ETF,0.0
ACXP,12.5,"Acurx Pharmaceuticals, Inc.",0.00679496
ADAC,12.5,American Drive Acquisition Company,0.28491248
ADACU,12.5,American Drive Acquisition Company,0.0
ADACW,12.5,American Drive Acquisition Company,0.0
ADAG,12.5,Adagene Inc.,0.262308208
ADAM,12.5,"Adamas Trust, Inc.",0.712937856
ADAMG,0.0,"Adamas Trust, Inc.",0.0
ADAMH,0.0,"Adamas Trust, Inc.",0.0
ADAMI,0.0,"New York Mortgage Trust, Inc. 9.125% Senior Notes Due 2029",0.0
ADAML,0.0,"Adamas Trust, Inc.",0.0
ADAMM,0.0,ADAMM,0.0
ADAMN,0.0,"Adamas Trust, Inc.",0.0
ADAMO,0.0,"Adamas Trust, Inc. 9.250% Senior Notes Due 2031",0.0
ADAMZ,0.0,"Adamas Trust, Inc.",0.0
ADBE,41.5,Adobe Inc.,99.646849024
ADBG,0.0,Leverage Shares 2X Long ADBE Daily ETF,0.0
ADEA,41.5,Adeia Inc.,3.202658816
ADGM,0.0,"Adagio Medical Holdings, Inc.",0.034426212
ADI,58.0,"Analog Devices, Inc.",181.3434368
ADIL,12.5,"Adial Pharmaceuticals, Inc.",0.002327591
ADMA,12.5,"ADMA Biologics, Inc.",2.62213248
ADP,25.0,"Automatic Data Processing, Inc.",81.079836672
ADPT,0.0,Adaptive Biotechnologies Corporation,2.228113408
ADSE,12.5,ADS-TEC Energy PLC,0.697728
ADSEW,12.5,ADS-TEC Energy PLC,0.0
ADSK,29.0,"Autodesk, Inc.",51.308240896
ADTN,29.5,"ADTRAN Holdings, Inc.",1.368641536
ADTX,12.5,"Aditxt, Inc.",0.00039281
ADUR,12.5,Aduro Clean Technologies Inc.,0.379885376
ADUS,75.0,Addus HomeCare Corporation,1.758465792
ADV,29.5,Advantage Solutions Inc.,0.402048448
ADVB,37.5,Advanced Biomed Inc.,0.006549773
ADXN,12.5,Addex Therapeutics Ltd,0.008279026
AEAQ,12.5,Activate Energy Acquisition Corp.,0.311237952
AEAQU,12.5,Activate Energy Acquisition Corp.,0.0
AEAQW,12.5,Activate Energy Acquisition Corp.,0.00354675
AEBI,29.5,Aebi Schmidt Holding AG,0.917605056
AEC,12.5,Anfield Energy Inc.,0.110240192
AEHL,58.5,Antelope Enterprise Holdings Limited,0.002028458
AEHR,29.0,"Aehr Test Systems, Inc.",2.637669888
AEI,25.0,Alset Inc.,0.068456664
AEIS,12.5,"Advanced Energy Industries, Inc.",14.283170816
AEMD,25.0,"Aethlon Medical, Inc.",0.003671717
AENT,58.5,Alliance Entertainment Holding Corporation,0.362816448
AENTW,54.0,Alliance Entertainment Holding Corporation,0.0
AEP,0.0,"American Electric Power Company, Inc.",72.652693504
AERT,29.5,"Aeries Technology, Inc",0.028800292
AERTW,12.5,"Aeries Technology, Inc",0.0
AEVA,0.0,"Aeva Technologies, Inc.",0.990167104
AEYE,0.0,"AudioEye, Inc.",0.088846416
AFBI,0.0,"Affinity Bancshares, Inc.",0.136464496
AFCG,12.5,Advanced Flower Capital Inc.,0.065410184
AFJK,12.5,"Aimei Health Technology Co., Ltd",0.277375744
AFJKR,12.5,AFJKR,0.0
AFJKU,12.5,"Aimei Health Technology Co., Ltd",0.0
AFOS,0.0,ARS Focused Opportunities Strategy ETF,0.0
AFRI,29.5,Forafric Global PLC,0.260407424
AFRIW,12.5,Forafric Global PLC,0.0
AFRM,45.5,"Affirm Holdings, Inc.",21.485637632
AFSC,0.0,abrdn Focused U.S. Small Cap Active ETF,0.0
AFYA,71.0,Afya Limited,1.425301376
AGAE,12.5,Allied Gaming & Entertainment Inc.,0.026229958
AGCC,12.5,Agencia Comercial Spirits Ltd,0.375069568
AGEM,0.0,abrdn Emerging Markets Dividend Active ETF,0.0
AGEN,12.5,Agenus Inc.,0.183928112
AGGA,0.0,Astoria Dynamic Core US Fixed Income ETF,0.0
AGH,12.5,Aureus Greenway Holdings Inc.,0.066435364
AGIO,12.5,"Agios Pharmaceuticals, Inc.",2.058928896
AGIX,0.0,KraneShares Artificial Intelligence and Technology ETF,0.0
AGMB,25.0,AgomAb Therapeutics NV,0.557659712
AGMH,54.5,AGM Group Holdings Inc.,0.00200007
